Titre,Titre_original,Annee,Public,Duree,Note,Type,Description,Actors,Country,Langue,Episode,Saison
Rome,,2005–2007,Tous publics,"TV Series,52,m",8.7,"Action,Drama,History",A down-to-earth account of the lives of both illustrious and ordinary Romans set in the last days of the Roman Republic.,"Kevin McKidd,Ray Stevenson,Polly Walker,Kerry Condon,James Purefoy,Ian McNeice,Coral Amiga,Lindsay Duncan,Lidia Biondi,Tobias Menzies,Nicholas Woodeson,David Bamber,Chiara Mastalli,Manfredi Aliquo,Indira Varma,Suzanne Bertish,Max Pirkis,Lee Boardman","United Kingdom,United States",English,22,2
Larry et son nombril,Original title: Curb Your Enthusiasm,2000– ,10,"TV Series,28,m",8.7,Comedy,The life and times of Larry David and the predicaments he gets himself into with his friends and complete strangers.,"Larry David,Cheryl Hines,Jeff Garlin,Susie Essman,J.B. Smoove,Richard Lewis,Ted Danson,Bob Einstein,Ashly Holloway,Shelley Berman,Antoinette Spolar,Vivica A. Fox,Carla Jeffery,Nick Nervies,Ann Ryerson,Wanda Sykes,Ellia English,Julia Louis-Dreyfus",United States,English,110,11
BoJack Horseman,,2014–2020,16,"TV Series,25,m",8.7,"Animation,Comedy,Drama","BoJack Horseman was the star of the hit television show ""Horsin' Around"" in the '80s and '90s, but now he's washed up, living in Hollywood, complaining about everything, and wearing colorful sweaters.","Will Arnett,Amy Sedaris,Alison Brie,Aaron Paul,Paul F. Tompkins,Adam Conover,Keith Olbermann,Diedrich Bader,Kristen Schaal,Patton Oswalt,Raphael Bob-Waksberg,Aparna Nancherla,J.K. Simmons,Stanley Tucci,Wendie Malick,Angela Bassett,Rami Malek,Stephanie Beatriz",United States,English,77,6
One Punch Man,Original title: One Punch Man: Wanpanman,2015–2019,12,"TV Series,24,m",8.8,"Animation,Action,Comedy","The story of Saitama, a hero that does it just for fun & can defeat his enemies with a single punch.","Makoto Furukawa,Kaito Ishikawa,Max Mittelman,Zach Aguilar,Hiromichi Tezuka,Robbie Daymond,Kyle Hebert,Shôta Yamamoto,Yôji Ueda,Sean Chiplock,Yoshiaki Hasegawa,Kirk Thornton,Shin'ya Hamazoe,Bill Rogers,Hikaru Midorikawa,Ben Lepley,Ben Pronsky,Koichi Soma",Japan,"Japanese,English",25,2
Dragon Ball Z,Original title: Dragon Ball Z: Doragon bôru zetto,1989–1996,Tous publics,"TV Series,24,m",8.7,"Animation,Action,Adventure",The adventures of Earth's martial arts defender Son Goku continue with a new family and the revelation of his alien origin. Now Goku and his allies must defend the planet from an onslaught of new extraterrestrial enemies.,"Jôji Yanami,Kyle Hebert,Masako Nozawa,Sean Schemmel,Christopher Sabat,Mayumi Tanaka,Sonny Strait,Stephanie Nadolny,Toshio Furukawa,Ryô Horikawa,Hiromi Tsuru,Tiffany Vollmer,Mike McFarland,Cynthia Cranz,Hirotaka Suzuoki,Daisuke Gôri,Takeshi Kusao,Tôru Furuya",,Japanese,291,1
Dark,,2017–2020,16,"TV Series,1,h",8.8,"Crime,Drama,Mystery","A family saga with a supernatural twist, set in a German town, where the disappearance of two young children exposes the relationships among four families.","Louis Hofmann,Karoline Eichhorn,Lisa Vicari,Maja Schöne,Jördis Triebel,Andreas Pietschmann,Stephan Kampwirth,Paul Lux,Christian Hutcherson,Oliver Masucci,Moritz Jahn,Peter Benedict,Gina Stiebitz,Deborah Kaufmann,Daan Lennard Liebrenz,Julika Jenkins,Carlotta von Falkenhayn,Tamar Pelzig","Germany,United States",German,26,3
À la Maison Blanche,Original title: The West Wing,1999–2006,Tous publics,"TV Series,44,m",8.8,Drama,Inside the lives of staffers in the West Wing of the White House.,"Martin Sheen,Rob Lowe,Allison Janney,John Spencer,Bradley Whitford,Janel Moloney,Richard Schiff,Dulé Hill,NiCole Robinson,Melissa Fitzgerald,Joshua Malina,Stockard Channing,Kim Webster,Kris Murphy,Timothy Davis-Reed,Mary McCormack,William Duffy,Peter James Smith",United States,English,155,7
Steins;Gate,,2011–2015,13,"TV Series,24,m",8.8,"Animation,Comedy,Drama","After discovering time travel, a university student and his colleagues must use their knowledge of it to stop an evil organization and their diabolical plans.","Mamoru Miyano,Asami Imai,Kana Hanazawa,Ashly Burch,J. Michael Tatum,Trina Nishimura,Tomokazu Seki,Tyson Rinehart,Cherami Leigh,Yukari Tamura,Saori Gotô,Yû Kobayashi,Masaki Terasoma,Jessica Cavanagh,Christopher Sabat,Lindsay Seidel,Haruko Momoi,Ayano Yamamoto",Japan,"Japanese,English",26,1
Peaky Blinders,,2013– ,10,"TV Series,1,h",8.8,"Crime,Drama","A gangster family epic set in 1900s England, centering on a gang who sew razor blades in the peaks of their caps, and their fierce boss Tommy Shelby.","Cillian Murphy,Paul Anderson,Helen McCrory,Sophie Rundle,Ned Dennehy,Finn Cole,Ian Peck,Natasha O'Keeffe,Harry Kirton,Joe Cole,Packy Lee,Annabelle Wallis,Kate Phillips,Aimee-Ffion Edwards,Tony Pitts,Jordan Bolger,Sam Neill,Tom Hardy",United Kingdom,"English,Romanian,Irish Gaelic,Italian,Yiddish",36,6
The Mandalorian,,2019– ,12,"TV Series,40,m",8.8,"Action,Adventure,Sci-Fi","The travels of a lone bounty hunter in the outer reaches of the galaxy, far from the authority of the New Republic.","Pedro Pascal,Carl Weathers,Barry Lowin,Gina Carano,Giancarlo Esposito,Chris Bartlett,Misty Rosas,Omid Abtahi,Temuera Morrison,Ming-Na Wen,Katy M. O'Brian,Rio Hackford,Amy Sedaris,Nick Nolte,Werner Herzog,Taika Waititi,Emily Swallow,Gabriel Ebert",United States,English,24,3
